"home_team","away_team","totals_quantile_low","totals_quantile_high","home_score_mean","away_score_mean","Home.Line.Open","Total.Score.Open","Home.Score","Away.Score","totals","over_under","totals_result","totals_win_lose","home_pt_diff","score_diff","side_bet","sides_result"
"Port Adelaide","GWS Giants","138.733573124195","144.871914648957","76.3913485898789","65.8641206661952",-12.5,167.5,84,29,113,"under",-54.5,"win",10.5272279236837,55,"away","loss"
"Brisbane","Essendon","162.684570536839","170.386672755245","78.4453707318969","88.5258082443321",-28.5,177.5,90,100,190,"under",12.5,"lose",-10.0804375124352,-10,"away","win"
"Hawthorn","Adelaide","142.317274525771","148.887722050608","70.1669362940194","75.7308197759813",-10.5,172.5,86,54,140,"under",-32.5,"win",-5.56388348196191,32,"away","loss"
"West Coast","Carlton","133.189544489899","139.846150493717","60.593000398869","76.720148189155",11.5,157.5,53,116,169,"under",11.5,"lose",-16.127147790286,-63,"away","win"
"Western Bulldogs","St Kilda","155.856194717833","162.85607988765","81.4160835693988","78.3484364522766",-2.5,170.5,84,56,140,"under",-30.5,"win",3.06764711712219,28,"home","win"
"Adelaide","Collingwood","135.101985443723","141.203860975412","74.2527224306231","64.5300686711805",17.5,156.5,86,91,177,"under",20.5,"lose",9.72265375944259,-5,"home","win"
"GWS Giants","Brisbane","156.9473473728","164.377195878512","75.8988450117633","85.1733013504951",17.5,172.5,59,99,158,"under",-14.5,"win",-9.2744563387318,-40,"home","loss"
"North Melbourne","Richmond","139.929376982945","145.995652909698","79.9031919447687","63.8196218690416",64.5,172.5,92,88,180,"under",7.5,"lose",16.0835700757271,4,"home","win"
"Carlton","Geelong","153.715005146122","160.567436736511","83.3553545036931","74.2862884538185",8.5,161.5,55,85,140,"under",-21.5,"win",9.06906604987461,-30,"home","loss"
"Fremantle","Sydney","148.130746205076","155.005628056384","71.5665996703358","80.4455130164996",-16.5,159.5,65,82,147,"under",-12.5,"win",-8.8789133461638,-17,"away","win"
"Hawthorn","West Coast","124.005759275207","130.045590869078","60.5301716242962","67.2646474281426",-11.5,159.5,102,77,179,"under",19.5,"lose",-6.73447580384639,25,"away","loss"
"Melbourne","Port Adelaide","139.962965808482","146.510648360579","68.3147507057391","75.211801532708",-20.5,155.5,83,69,152,"under",-3.5,"win",-6.89705082696889,14,"away","win"
"Essendon","Gold Coast","153.451836259763","160.284491423037","81.3671797832999","76.2285471297541",6.5,170.5,103,55,158,"under",-12.5,"win",5.1386326535458,48,"home","win"
"Richmond","Fremantle","156.967036202853","164.346711427571","74.4647153065843","86.6814898438541",-5.5,167.5,52,52,104,"under",-63.5,"win",-12.2167745372698,0,"away","win"
"North Melbourne","Hawthorn","124.520244000493","130.526097400567","58.9754567954233","68.9529015018008",28.5,170.5,75,121,196,"under",25.5,"lose",-9.9774447063775,-46,"home","loss"
"Sydney","Adelaide","150.409501781906","157.036459216671","79.4348884824448","74.6446511778311",-28.5,154.5,118,85,203,"no bet",48.5,NA,4.79023730461371,33,"away","loss"
"Port Adelaide","Geelong","142.849933400365","149.598665000251","69.9814444502307","76.6018542672527",6.5,155.5,94,106,200,"under",44.5,"lose",-6.62040981702201,-12,"away","win"
"Brisbane","Gold Coast","165.820926783822","173.320015300388","81.6046690863164","88.4638465151975",-17.5,171.5,110,93,203,"no bet",31.5,NA,-6.8591774288811,17,"away","win"
"Western Bulldogs","Melbourne","163.132213760789","170.586903977304","77.8800101506946","89.3073208537634",15.5,166.5,110,100,210,"no bet",43.5,NA,-11.4273107030688,10,"home","win"
"Carlton","GWS Giants","143.136859065922","149.945976529862","68.4902502392991","78.4349472478034",-19.5,166.5,90,54,144,"under",-22.5,"win",-9.94469700850429,36,"away","loss"
"Collingwood","Essendon","145.275872889241","152.08270221609","68.7397913736821","80.2807097892436",-11.5,167.5,80,76,156,"under",-11.5,"win",-11.5409184155615,4,"away","win"
"West Coast","St Kilda","121.666516216637","127.82060910175","55.6501970123757","69.6955749759217",18.5,165.5,62,90,152,"under",-13.5,"win",-14.045377963546,-28,"home","loss"
"Fremantle","Melbourne","138.57528051404","144.599574409956","71.5296114067806","70.3350856236902",2.5,145.5,39,85,124,"under",-21.5,"win",1.1945257830904,-46,"home","loss"
"Collingwood","Port Adelaide","133.875728031919","140.022779190163","67.9559767547487","69.3323176460096",-7.5,161.5,88,82,170,"under",8.5,"lose",-1.3763408912609,6,"away","win"
"Sydney","GWS Giants","151.565398393064","158.013416069741","82.2214946041071","72.8925805400881",-24.5,168.5,112,39,151,"under",-17.5,"win",9.32891406401899,73,"away","loss"
"St Kilda","Hawthorn","137.144246029358","143.109236128426","74.898724141952","65.7180385276869",-10.5,167.5,75,63,138,"under",-29.5,"win",9.1806856142651,12,"away","loss"
"Geelong","Western Bulldogs","169.763001339678","177.53616812898","81.2924822459692","92.6681527940127",-27.5,163.5,94,66,160,"over",-3.5,NA,-11.3756705480435,28,"away","loss"
"Adelaide","Carlton","147.462028795229","153.768733379602","80.0547768770073","70.8806261020372",14.5,163.5,84,55,139,"under",-24.5,"win",9.1741507749701,29,"home","win"
"Gold Coast","West Coast","129.236328779914","135.645115576958","60.8416095379357","72.2303739248863",-37.5,166.5,107,104,211,"under",44.5,"lose",-11.3887643869506,3,"away","win"
