home_team,away_team,totals_quantile,sides_quantile,Date,Kick.Off,Venue,Home.Score,Away.Score,Home.Goals,Home.Behinds,Away.Goals,Away.Behinds,Home.Odds,Away.Odds,Bookmakers.Surveyed,Home.Odds.Open,Home.Odds.Min,Home.Odds.Max,Home.Odds.Close,Away.Odds.Open,Away.Odds.Min,Away.Odds.Max,Away.Odds.Close,Home.Line.Open,Home.Line.Min,Home.Line.Max,Home.Line.Close,Away.Line.Open,Away.Line.Min,Away.Line.Max,Away.Line.Close,Home.Line.Odds.Open,Home.Line.Odds.Min,Home.Line.Odds.Max,Home.Line.Odds.Close,Away.Line.Odds.Open,Away.Line.Odds.Min,Away.Line.Odds.Max,Away.Line.Odds.Close,Total.Score.Open,Total.Score.Min,Total.Score.Max,Total.Score.Close,Total.Score.Over.Open,Total.Score.Over.Min,Total.Score.Over.Max,Total.Score.Over.Close,Total.Score.Under.Open,Total.Score.Under.Min,Total.Score.Under.Max,Total.Score.Under.Close,Notes,totals,bet_total_open,bet_total_high,bet_total_low,bet_total_close,season,bet,cash,,,,
Collingwood,Adelaide Crows,137.7614738,9.951634148,26/03/2022,13:45,MCG,100,58,15,10,8,10,1.33,3.21,13,1.62,1.31,1.62,1.33,2.3,2.3,3.5,3.5,-8.5,-20.5,-8.5,-19.5,8.5,8.5,20.5,19.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,170.5,168.5,1.89,1.89,1.91,1.95,1.89,1.89,1.91,1.87,,158,-25.73852617,-32.73852617,-25.73852617,-30.73852617,NA,fave,yes,,,,
Essendon,Brisbane Lions,169.9264685,22.61587937,26/03/2022,16:35,Marvel Stadium,75,97,10,15,15,7,2.88,1.4,13,2.4,2.4,3.1,3,1.58,1.38,1.58,1.42,9.5,9.5,17.5,15.5,-9.5,-17.5,-9.5,-15.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,164.5,164.5,179.5,179.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,172,5.426468501,-9.573531499,5.426468501,-9.573531499,NA,over,yes,,,,
Essendon,Brisbane Lions,176.450842,29.03752061,26/03/2022,16:35,Marvel Stadium,75,97,10,15,15,7,2.88,1.4,13,2.4,2.4,3.1,3,1.58,1.38,1.58,1.42,9.5,9.5,17.5,15.5,-9.5,-17.5,-9.5,-15.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,164.5,164.5,179.5,179.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,172,11.95084202,-3.049157979,11.95084202,-3.049157979,NA,dog,no,,,,
Port Adelaide,Hawthorn,131.371965,-35.16926089,26/03/2022,19:10,Adelaide Oval,56,120,7,14,19,6,1.27,3.57,13,1.22,1.19,1.3,1.28,4.35,3.6,4.8,3.85,-26.5,-29.5,-22.5,-22.5,26.5,22.5,29.5,22.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,157.5,161.5,158.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,,176,-28.12803504,-30.12803504,-26.12803504,-27.12803504,NA,under,no,,,,
Port Adelaide,Hawthorn,137.3247006,-29.19887568,26/03/2022,19:10,Adelaide Oval,56,120,7,14,19,6,1.27,3.57,13,1.22,1.19,1.3,1.28,4.35,3.6,4.8,3.85,-26.5,-29.5,-22.5,-22.5,26.5,22.5,29.5,22.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,157.5,161.5,158.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,,176,-22.17529945,-24.17529945,-20.17529945,-21.17529945,NA,dog,yes,,,,
Gold Coast,Melbourne,150.5706802,-60.39021212,26/03/2022,19:00,Metricon Stadium,69,82,10,9,12,10,3.59,1.27,13,5,3.5,5.5,3.85,1.18,1.15,1.33,1.28,30.5,20.5,32.5,22.5,-30.5,-32.5,-20.5,-22.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,156.5,145.5,158.5,145.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,,151,-5.929319824,-7.929319824,5.070680176,5.070680176,NA,none,,,,,
Gold Coast,Melbourne,158.3237358,-52.56683984,26/03/2022,19:00,Metricon Stadium,69,82,10,9,12,10,3.59,1.27,13,5,3.5,5.5,3.85,1.18,1.15,1.33,1.28,30.5,20.5,32.5,22.5,-30.5,-32.5,-20.5,-22.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,156.5,145.5,158.5,145.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,,151,1.823735836,-0.176264164,12.82373584,12.82373584,NA,fave,no,,,,
North Melbourne,West Coast Eagles,136.1900295,-21.72525982,27/03/2022,13:10,Marvel Stadium,74,59,10,14,8,11,1.24,3.96,10,1.7,1.17,2.1,1.25,2.18,1.75,5.25,4.15,-5.5,-30.5,4.5,-25.5,5.5,-4.5,30.5,25.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,162.5,162.5,175.5,170.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,133,-26.30997053,-39.30997053,-26.30997053,-34.30997053,NA,under,yes,,,,
North Melbourne,West Coast Eagles,141.9820916,-15.72595001,27/03/2022,13:10,Marvel Stadium,74,59,10,14,8,11,1.24,3.96,10,1.7,1.17,2.1,1.25,2.18,1.75,5.25,4.15,-5.5,-30.5,4.5,-25.5,5.5,-4.5,30.5,25.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,162.5,162.5,175.5,170.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,133,-20.51790843,-33.51790843,-20.51790843,-28.51790843,NA,dog,yes,,,,
Richmond,GWS Giants,153.6267727,4.139349612,27/03/2022,15:20,MCG,109,73,16,13,10,13,2.31,1.55,13,1.58,1.58,2.7,2.5,2.4,1.47,2.4,1.56,-9.5,-9.5,13.5,10.5,9.5,-13.5,9.5,-10.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,164.5,164.5,170.5,168.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,182,-10.87322728,-16.87322728,-10.87322728,-14.87322728,NA,under,no,,,,
Richmond,GWS Giants,159.7370776,10.21069619,27/03/2022,15:20,MCG,109,73,16,13,10,13,2.31,1.55,13,1.58,1.58,2.7,2.5,2.4,1.47,2.4,1.56,-9.5,-9.5,13.5,10.5,9.5,-13.5,9.5,-10.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,164.5,164.5,170.5,168.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,182,-4.762922406,-10.76292241,-4.762922406,-8.762922406,NA,dog,yes,,,,
Fremantle,St Kilda,137.4320836,-0.648662185,27/03/2022,15:20,Optus Stadium,55,65,8,7,9,11,1.8,1.9,12,1.75,1.45,1.91,1.83,2.1,1.91,2.75,2.02,-4.5,-13.5,-1.5,-2.5,4.5,1.5,13.5,2.5,1.91,1.89,2,1.91,1.91,1.82,1.93,1.91,163.5,163.5,165.5,164.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,,120,-26.06791642,-28.06791642,-26.06791642,-27.06791642,NA,under,yes,,,,
Fremantle,St Kilda,143.023803,4.95003178,27/03/2022,15:20,Optus Stadium,55,65,8,7,9,11,1.8,1.9,12,1.75,1.45,1.91,1.83,2.1,1.91,2.75,2.02,-4.5,-13.5,-1.5,-2.5,4.5,1.5,13.5,2.5,1.91,1.89,2,1.91,1.91,1.82,1.93,1.91,163.5,163.5,165.5,164.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,,120,-20.47619702,-22.47619702,-20.47619702,-21.47619702,NA,fave,no,,,,
Western Bulldogs,Sydney,163.0471326,-32.86124711,24/03/2022,19:20,Marvel Stadium,71,60,9,17,9,6,1.72,2.06,14,1.65,1.65,1.91,1.77,2.25,1.91,2.25,2.1,-7.5,-7.5,-1.5,-3.5,7.5,1.5,7.5,3.5,1.91,1.91,2,1.87,1.91,1.82,1.91,1.95,176.5,174.5,176.5,174.5,1.95,1.89,1.95,1.91,1.87,1.89,1.87,1.91,,131,-13.45286739,-13.45286739,-11.45286739,-11.45286739,2022,under,yes,1,,,
Western Bulldogs,Sydney,171.3208895,-24.49679603,24/03/2022,19:20,Marvel Stadium,71,60,9,17,9,6,1.72,2.06,14,1.65,1.65,1.91,1.77,2.25,1.91,2.25,2.1,-7.5,-7.5,-1.5,-3.5,7.5,1.5,7.5,3.5,1.91,1.91,2,1.87,1.91,1.82,1.91,1.95,176.5,174.5,176.5,174.5,1.95,1.89,1.95,1.91,1.87,1.89,1.87,1.91,,131,-5.179110464,-5.179110464,-3.179110464,-3.179110464,2022,dog,no,-1,,,
