home_team,away_team,totals_quantile,sides_quantile,Kick.Off,Venue,Home.Score,Away.Score,Home.Goals,Home.Behinds,Away.Goals,Away.Behinds,Home.Odds,Away.Odds,Bookmakers.Surveyed,Home.Odds.Open,Home.Odds.Min,Home.Odds.Max,Home.Odds.Close,Away.Odds.Open,Away.Odds.Min,Away.Odds.Max,Away.Odds.Close,Home.Line.Open,Home.Line.Min,Home.Line.Max,Home.Line.Close,Away.Line.Open,Away.Line.Min,Away.Line.Max,Away.Line.Close,Home.Line.Odds.Open,Home.Line.Odds.Min,Home.Line.Odds.Max,Home.Line.Odds.Close,Away.Line.Odds.Open,Away.Line.Odds.Min,Away.Line.Odds.Max,Away.Line.Odds.Close,Total.Score.Open,Total.Score.Min,Total.Score.Max,Total.Score.Close,Total.Score.Over.Open,Total.Score.Over.Min,Total.Score.Over.Max,Total.Score.Over.Close,Total.Score.Under.Open,Total.Score.Under.Min,Total.Score.Under.Max,Total.Score.Under.Close,Notes,totals,,
Richmond,GWS Giants,156.8865683,-4.41736047,15:20,MCG,109,73,16,13,10,13,2.31,1.55,13,1.58,1.58,2.7,2.5,2.4,1.47,2.4,1.56,-9.5,-9.5,13.5,10.5,9.5,-13.5,9.5,-10.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,164.5,164.5,170.5,168.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,182,6,8
Fremantle,St Kilda,143.2992622,0.742615694,15:20,Optus Stadium,55,65,8,7,9,11,1.8,1.9,12,1.75,1.45,1.91,1.83,2.1,1.91,2.75,2.02,-4.5,-13.5,-1.5,-2.5,4.5,1.5,13.5,2.5,1.91,1.89,2,1.91,1.91,1.82,1.93,1.91,163.5,163.5,165.5,164.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,,120,under,
Fremantle,St Kilda,149.8948714,7.387675704,15:20,Optus Stadium,55,65,8,7,9,11,1.8,1.9,12,1.75,1.45,1.91,1.83,2.1,1.91,2.75,2.02,-4.5,-13.5,-1.5,-2.5,4.5,1.5,13.5,2.5,1.91,1.89,2,1.91,1.91,1.82,1.93,1.91,163.5,163.5,165.5,164.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,,120,7,8
Western Bulldogs,Sydney,156.8695313,-9.459243414,19:20,Marvel Stadium,71,60,9,17,9,6,1.72,2.06,14,1.65,1.65,1.91,1.77,2.25,1.91,2.25,2.1,-7.5,-7.5,-1.5,-3.5,7.5,1.5,7.5,3.5,1.91,1.91,2,1.87,1.91,1.82,1.91,1.95,176.5,174.5,176.5,174.5,1.95,1.89,1.95,1.91,1.87,1.89,1.87,1.91,,131,under,
Western Bulldogs,Sydney,164.6306032,-1.744281652,19:20,Marvel Stadium,71,60,9,17,9,6,1.72,2.06,14,1.65,1.65,1.91,1.77,2.25,1.91,2.25,2.1,-7.5,-7.5,-1.5,-3.5,7.5,1.5,7.5,3.5,1.91,1.91,2,1.87,1.91,1.82,1.91,1.95,176.5,174.5,176.5,174.5,1.95,1.89,1.95,1.91,1.87,1.89,1.87,1.91,,131,8,8
Melbourne,Essendon,159.411221,-12.22407709,19:20,MCG,99,70,14,15,10,10,1.22,4.06,14,1.3,1.19,1.3,1.24,3.6,3.6,5,4.25,-21.5,-28.5,-21.5,-25.5,21.5,21.5,28.5,25.5,1.91,1.87,1.91,1.91,1.91,1.91,1.95,1.91,168.5,164.5,168.5,164.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,,169,under,
Melbourne,Essendon,167.3555245,-4.336792388,19:20,MCG,99,70,14,15,10,10,1.22,4.06,14,1.3,1.19,1.3,1.24,3.6,3.6,5,4.25,-21.5,-28.5,-21.5,-25.5,21.5,21.5,28.5,25.5,1.91,1.87,1.91,1.91,1.91,1.91,1.95,1.91,168.5,164.5,168.5,164.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,,169,8,9
Adelaide,Port Adelaide,147.5061145,-7.186152825,19:50,Adelaide Oval,96,92,15,6,13,14,2.92,1.39,14,2.8,2.8,3.6,3.1,1.44,1.3,1.44,1.4,14.5,14.5,21.5,16.5,-14.5,-21.5,-14.5,-16.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,160.5,156.5,160.5,159.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,,188,under,
Adelaide,Port Adelaide,154.6683509,-0.117853616,19:50,Adelaide Oval,96,92,15,6,13,14,2.92,1.39,14,2.8,2.8,3.6,3.1,1.44,1.3,1.44,1.4,14.5,14.5,21.5,16.5,-14.5,-21.5,-14.5,-16.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,160.5,156.5,160.5,159.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,,188,8,10
GWS Giants,Gold Coast,140.3335689,-14.20515677,16:35,Giants Stadium,83,57,12,11,8,9,1.39,2.83,14,1.42,1.36,1.65,1.6,2.9,2.3,3.2,2.4,-15.5,-18.5,-7.5,-8.5,15.5,7.5,18.5,8.5,1.91,1.91,1.87,1.87,1.91,1.95,1.91,1.95,149.5,149.5,163.5,162.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,140,under,
