"match_id","points_per_kick","home_ground","temp","humidity","dew","precip","precipprob","windspeed","winddir","conditions"
15782,3.15789473684211,"Adelaide Oval",44.5,54.28,29,0,0,143,143,"Clear"
15783,2.26315789473684,"Melbourne Cricket Ground",52.2,66.39,41.3,0,0,147,147,"Partially cloudy"
15784,3.63414634146341,"Carrara Stadium",62.7,87.45,58.9,0,0,129,129,"Clear"
15785,3.08571428571429,"Docklands Stadium",51.8,67.97,41.6,0,0,130,130,"Overcast"
15800,3.53333333333333,"Adelaide Oval",51.7,81.38,46.1,0,0,158,158,"Partially cloudy"
15801,3.85714285714286,"The Gabba",66.9,50.4,47.9,0,0,259,259,"Partially cloudy"
15802,3.60606060606061,"Perth Stadium",82.4,23.1,41,0,0,270,270,"Clear"
15803,2.90697674418605,"Melbourne Cricket Ground",56.9,63.7,44.8,0,0,160,160,"Partially cloudy"
15804,3,"Docklands Stadium",51.2,80.61,45.4,0,0,9,9,"Clear"
15805,3.04,"Perth Stadium",75.1,89.07,71.7,0,0,318,318,"Partially cloudy"
15806,3.12903225806452,"Adelaide Oval",53.7,82.21,48.4,0,0,6,6,"Partially cloudy"
15807,3.4047619047619,"Carrara Stadium",63.5,83.28,58.3,0,0,28,28,"Clear"
15808,2.96666666666667,"Sydney Cricket Ground",65.3,61.72,51.9,0,0,116,116,"Partially cloudy"
15809,3.4,"Kardinia Park",54.7,86.42,50.7,0,0,2,2,"Partially cloudy"
15810,2.94285714285714,"Docklands Stadium",58,77.41,50.9,0,0,205,205,"Partially cloudy"
15811,4.21212121212121,"Melbourne Cricket Ground",54.9,93.25,53,0,0,202,202,"Partially cloudy"
15812,2.36666666666667,"Perth Stadium",75.3,69.56,64.7,0,0,298,298,"Clear"
15813,3.28,"Docklands Stadium",57,82.93,51.8,0,0,210,210,"Partially cloudy"
15814,3.66666666666667,"Docklands Stadium",55.8,87.77,52.2,0,0,0,0,"Rain, Partially cloudy"
15815,3.20512820512821,"Perth Stadium",77,65.15,64.4,0,0,260,260,"Clear"
15816,2.61290322580645,"Melbourne Cricket Ground",55.4,58.24,40.9,0,0,354,354,"Overcast"
15817,2.07692307692308,"Carrara Stadium",65.6,32.08,35,0,0,264,264,"Clear"
15818,2.72340425531915,"Docklands Stadium",50.7,71.23,41.7,0,0,236,236,"Partially cloudy"
15819,2.73333333333333,"Adelaide Oval",51,66.05,40.1,0,0,235,235,"Clear"
15820,3.44736842105263,"Docklands Stadium",45.1,95.02,43.7,0,0,282,282,"Partially cloudy"
15821,2.44,"Perth Stadium",82.1,32.89,50.1,0,0,236,236,"Clear"
15822,2.63157894736842,"Adelaide Oval",51.9,65.21,40.6,0,0,238,238,"Partially cloudy"
15823,2.52631578947368,"The Gabba",69.6,18.24,24.5,0,0,259,259,"Clear"
15824,3.02857142857143,"Perth Stadium",82.4,61.84,68,0,0,310,310,"Clear"
15825,2.96969696969697,"Melbourne Cricket Ground",48.4,77.37,41.6,0,0,249,249,"Partially cloudy"
15826,3.44444444444444,"Melbourne Cricket Ground",67.6,38.35,41.3,0,0,331,331,"Partially cloudy"
15827,3.78947368421053,"Melbourne Cricket Ground",48.1,86.74,44.4,0,0,267,267,"Clear"
15828,3.5,"Docklands Stadium",55,62.62,42.5,0,0,18,18,"Partially cloudy"
15829,3.37142857142857,"Adelaide Oval",72.3,26.97,36.4,0,0,2,2,"Clear"
15830,3.55,"Perth Stadium",91.2,26.14,51.7,0,0,290,290,"Clear"
15831,3.73076923076923,"Melbourne Cricket Ground",59.3,57.46,44.3,0,0,10,10,"Clear"
15832,2.74418604651163,"Docklands Stadium",67.1,39.99,42,0,0,350,350,"Overcast"
15833,2.59090909090909,"Carrara Stadium",65.4,59.14,50.8,0,0,60,60,"Clear"
15834,3.09756097560976,"Melbourne Cricket Ground",57.2,49.62,38.6,0,0,352,352,"Overcast"
15835,3.12121212121212,"Perth Stadium",75,93.58,73,0,0,300,300,"Clear"
15836,2.89285714285714,"Melbourne Cricket Ground",64.9,52.51,47.1,0,0,1,1,"Overcast"
15837,2.94736842105263,"Sydney Cricket Ground",82.4,29.62,47.5,0,0,310,310,"Clear"
15838,2.075,"Sydney Showground Stadium",76.7,39.37,50.1,0,0,344,344,"Partially cloudy"
15839,3.04166666666667,"The Gabba",67.7,69.63,57.4,0,0,21,21,"Clear"
15840,3.07894736842105,"Docklands Stadium",54,64.65,42.4,0,0,194,194,"Clear"
15841,3.15555555555556,"Docklands Stadium",64.5,43.86,42,0,0,360,360,"Clear"
15842,3.36363636363636,"Kardinia Park",65.3,45.45,43.6,0,0,360,360,"Partially cloudy"
15843,2.62857142857143,"Docklands Stadium",61.4,49.98,42.6,0,0,360,360,"Partially cloudy"
15844,2.05263157894737,"Melbourne Cricket Ground",68,53.92,50.7,0,0,15,15,"Overcast"
15845,3,"Adelaide Oval",56.3,67.26,45.6,0,0,131,131,"Overcast"
15846,2.84210526315789,"Docklands Stadium",55.3,76.38,48,0,0,175,175,"Partially cloudy"
15847,3.125,"The Gabba",64.5,68.1,53.7,0,0,91,91,"Partially cloudy"
15848,2.44444444444444,"Docklands Stadium",63.3,57.8,48.2,0,0,11,11,"Clear"
15849,2.54545454545455,"Kardinia Park",63,52.88,45.6,0,0,15,15,"Overcast"
15850,3.58333333333333,"Docklands Stadium",60.6,61.12,47.1,0,0,356,356,"Overcast"
15851,2.73684210526316,"Adelaide Oval",56.2,89.36,53.1,0,0,191,191,"Overcast"
15852,3.30434782608696,"Sydney Showground Stadium",62.8,79.97,56.5,0,0,33,33,"Clear"
15853,2.65957446808511,"Docklands Stadium",59,64.01,46.9,0,0,210,210,"Partially cloudy"
15854,3.53125,"Melbourne Cricket Ground",62.2,51.82,44.3,0,0,190,190,"Partially cloudy"
15855,3.23529411764706,"Sydney Cricket Ground",66.1,51.3,47.6,0,0,320,320,"Overcast"
15856,3.3030303030303,"Melbourne Cricket Ground",52.7,78.82,46.3,0,0,217,217,"Clear"
15857,3.03846153846154,"Docklands Stadium",54.5,77.94,47.7,0,0,171,171,"Partially cloudy"
15858,2.89189189189189,"Docklands Stadium",58.1,84.28,53.4,0,0,188,188,"Overcast"
15859,3.28571428571429,"Docklands Stadium",77.8,40.76,52,0,0,32,32,"Overcast"
15860,3.05714285714286,"Adelaide Oval",64.4,66.33,52.9,0,0,298,298,"Partially cloudy"
15861,4,"The Gabba",69,69.11,58.4,0,0,98,98,"Overcast"
15862,3.76744186046512,"Melbourne Cricket Ground",69.9,54.61,52.8,0,0,352,352,"Clear"
15863,3.17073170731707,"Sydney Cricket Ground",69.9,74.63,61.5,0.323,0.323,19,19,"Rain, Partially cloudy"
15864,3.31428571428571,"Perth Stadium",80.5,74.35,71.6,0,0,278,278,"Clear"
15865,3.4,"Melbourne Cricket Ground",60.8,49.11,41.6,0,0,9,9,"Clear"
15866,3.0625,"Adelaide Oval",60.8,57.12,45.5,0,0,44,44,"Clear"
15867,3.42857142857143,"The Gabba",70.9,77.67,63.6,0,0,102,102,"Clear"
15868,3.11904761904762,"Docklands Stadium",83.1,32.24,50.4,0,0,2,2,"Overcast"
15869,3.87179487179487,"Perth Stadium",81.9,79.69,75,0,0,288,288,"Overcast"
15870,2.67391304347826,"Melbourne Cricket Ground",59.8,54.81,43.5,0,0,243,243,"Partially cloudy"
15871,3.58333333333333,"Kardinia Park",60.4,63.27,47.9,0,0,198,198,"Partially cloudy"
15872,2.64516129032258,"Adelaide Oval",60.2,94.14,58.5,0,0,313,313,"Partially cloudy"
15873,2.76744186046512,"The Gabba",71.7,62.82,58.3,0,0,29,29,"Clear"
15874,3.09756097560976,"Melbourne Cricket Ground",55.3,57.52,40.5,0,0,191,191,"Overcast"
